Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
810.0,3,2.0,1,34,1.0,4500000,1,1,1,11291.5
450.0,2,1.0,2,37,1.0,3600000,1,1,1,72000.0
100.0,3,2.0,0,35,1.0,4300000,1,0,1,43000.0
900.0,3,2.0,1,34,1.0,4000000,1,1,1,4444.0
500.0,2,2.0,1,35,1.0,1650000,1,1,0,3300.0
450.0,1,1.0,0,34,1.0,2000000,1,1,1,4444.0
75.0,2,2.0,1,34,1.0,3000000,1,1,1,40000.0
270.0,2,1.0,1,35,1.0,1400000,1,1,0,5185.0
500.0,2,1.0,1,35,1.0,2000000,1,1,1,4000.0
444.0,2,2.0,2,35,1.0,2000000,1,1,0,4000.0
400.0,1,1.0,0,34,1.0,2000000,1,1,1,4000.0
729.0,3,4.0,0,34,1.0,2600000,1,1,1,3567.0
4050.0,6,3.0,0,35,1.0,5100000,1,1,1,1259.0
2400.0,6,4.0,0,36,1.0,6000000,1,1,1,2500.0
450.0,2,2.0,0,34,1.0,4000000,1,1,1,2500.0
405.0,2,3.0,0,36,1.0,6200000,1,1,1,2500.0
666.0,1,2.0,0,35,1.0,3500000,1,1,1,5255.0
1000.0,2,2.0,1,303,1.0,7600000,1,1,0,5255.0
1360.0,4,3.0,1,280,1.0,13500000,1,0,1,5255.0
1550.0,4,3.0,1,280,1.0,12500000,1,0,1,5255.0
850.0,3,2.0,1,279,1.0,6500000,1,0,1,5255.0
2170.0,4,4.0,2,279,2.0,22000000,1,0,1,5255.0
720.0,3,2.0,1,279,1.0,6000000,1,0,1,5255.0
850.0,3,2.0,1,279,1.0,7300000,1,0,1,5255.0
950.0,3,2.0,1,279,1.0,7600000,1,0,1,5255.0
2300.0,4,4.0,1,279,1.0,20000000,1,0,1,5255.0
1300.0,4,4.0,1,278,1.0,15000000,1,0,1,5255.0
1100.0,3,2.0,1,276,1.0,6200000,1,0,1,5255.0
1030.0,3,2.0,0,276,1.0,6200000,1,0,1,5255.0
350.0,1,1.0,1,271,1.0,2300000,1,0,1,11291.5
750.0,2,2.0,1,138,1.0,5000000,1,0,0,6667.0
720.0,2,2.0,1,138,1.0,4700000,1,0,0,6528.0
800.0,2,2.0,1,138,1.0,5500000,1,0,0,6875.0
350.0,1,1.0,1,138,1.0,2000000,1,0,0,5714.0
980.0,3,2.0,1,138,1.0,7300000,1,0,0,7449.0
1600.0,4,3.0,1,138,1.0,13000000,1,0,0,8125.0
1450.0,3,3.0,1,138,1.0,11500000,1,0,0,7931.0
445.0,2,2.0,1,138,1.0,2800000,1,0,0,7931.0
380.0,1,1.0,1,138,1.0,2200000,1,0,0,5789.0
680.0,2,2.0,1,138,1.0,4400000,1,0,0,6471.0
1600.0,3,3.0,1,138,1.0,13500000,1,0,0,8438.0
630.0,2,2.0,1,138,1.0,4100000,1,0,0,6508.0
1500.0,3,2.0,1,138,1.0,12000000,1,0,0,8000.0
550.0,2,2.0,1,138,1.0,3500000,1,0,0,6364.0
2500.0,4,3.0,1,138,1.0,15000000,1,0,0,6000.0
2800.0,5,4.0,1,138,1.0,17500000,1,0,0,6250.0
300.0,1,1.0,1,138,1.0,1900000,1,0,0,6333.0
800.0,3,2.0,1,138,1.0,5500000,1,0,0,6875.0
1295.0,3,2.0,1,138,1.0,10000000,1,0,0,6875.0
700.0,3,2.0,1,138,1.0,4700000,1,0,0,6714.0
350.0,1,1.0,1,138,1.0,2400000,1,0,1,6714.0
450.0,2,2.0,1,138,1.0,3800000,1,0,1,6714.0
2200.0,4,4.0,1,138,1.0,23000000,1,0,1,6714.0
2300.0,4,4.0,1,138,1.0,24500000,1,0,1,6714.0
1150.0,3,2.0,1,138,1.0,10000000,1,0,1,6714.0
800.0,3,2.0,1,138,1.0,5500000,1,0,1,6714.0
850.0,3,2.0,1,138,1.0,7000000,1,0,1,6714.0
720.0,3,2.0,1,138,1.0,6500000,1,0,1,6714.0
750.0,2,2.0,1,138,1.0,5000000,1,0,0,6667.0
950.0,3,2.0,0,343,1.0,4370000,1,0,0,4600.0
1000.0,3,2.0,2,357,1.0,4620000,1,0,0,4620.0
850.0,2,1.0,1,326,1.0,1900000,1,0,0,2235.0
1350.0,3,2.0,2,175,1.0,5130000,1,0,0,3800.0
540.0,2,2.0,1,5,1.0,3000000,1,0,0,5000.0
1387.0,4,4.0,2,92,1.0,5890000,1,0,0,4247.0
540.0,2,2.0,1,163,1.0,3300000,1,0,0,6111.0
976.0,2,2.0,0,118,1.0,24900000,1,0,0,25512.0
1050.0,3,2.0,2,340,1.0,3700000,1,0,0,3524.0
1500.0,3,2.0,2,162,1.0,17400000,1,1,0,22222.0
2900.0,5,5.0,0,141,1.0,51000000,0,0,1,22222.0
1000.0,3,2.0,1,231,1.0,5510000,0,0,1,22222.0
1135.0,3,3.0,0,339,2.0,25000000,0,1,0,22222.0
850.0,2,2.0,1,97,1.0,2940000,0,0,0,24718.0
1200.0,3,3.0,1,19,1.0,15500000,1,1,0,24718.0
1700.0,3,2.0,1,334,1.0,17200000,1,1,0,24718.0
1800.0,4,3.0,1,351,2.0,55000000,1,1,1,30556.0
1100.0,2,2.0,1,346,1.0,15000000,1,1,0,30556.0
22050.0,4,4.0,1,123,2.0,51000000,0,0,1,30556.0
1550.0,4,3.0,1,280,1.0,13000000,1,0,1,30556.0
1600.0,3,3.0,1,123,1.0,30000000,1,0,1,18750.0
700.0,2,2.0,1,155,1.0,2400000,1,0,1,18750.0
45.0,4,3.0,2,29,1.0,5500000,1,0,1,18750.0
3510.0,4,4.0,1,110,2.0,45000000,1,1,1,11291.5
1700.0,3,3.0,1,109,2.0,38500000,1,0,1,120000.0
2500.0,3,3.0,1,176,2.0,50000000,1,1,0,120000.0
1600.0,3,3.0,1,218,2.0,40000000,1,1,0,15459.0
2200.0,4,4.0,1,146,2.0,50000000,1,1,1,15459.0
2070.0,3,3.0,1,109,2.0,37500000,1,0,1,15459.0
3500.0,3,3.0,2,176,1.0,45000000,1,1,1,15459.0
2800.0,6,4.0,1,335,2.0,29500000,1,1,0,15459.0
1400.0,3,3.0,1,218,2.0,50000000,1,0,1,23529.0
2700.0,4,4.0,1,219,2.0,52500000,1,0,1,23529.0
4500.0,4,4.0,1,218,2.0,55000000,1,1,1,23529.0
2200.0,4,4.0,1,145,2.0,47500000,1,0,1,11291.5
2200.0,4,4.0,1,145,2.0,47500000,1,0,1,20000.0
2200.0,4,4.0,1,145,1.0,40000000,1,0,1,20000.0
1440.0,3,3.0,1,145,3.0,26000000,1,0,1,20000.0
3150.0,4,4.0,1,145,3.0,35000000,1,1,1,11111.0
900.0,2,2.0,1,145,3.0,20000000,1,1,1,11111.0
1200.0,3,2.0,1,145,3.0,17000000,1,1,1,21409.0
4500.0,4,4.0,1,145,2.0,47500000,1,1,1,95000.0
2799.0,4,4.0,1,145,2.0,43000000,1,0,1,15363.0
1350.0,3,3.0,2,145,1.0,26000000,1,0,1,19259.0
1200.0,3,3.0,2,145,1.0,25000000,1,0,1,20833.0
2177.0,4,5.0,1,145,2.0,51000000,1,0,1,20833.0
1500.0,3,3.0,1,145,2.0,40000000,1,0,1,20833.0
1600.0,3,3.0,2,145,1.0,22500000,1,1,1,20833.0
2150.0,4,4.0,2,145,2.0,45000000,1,0,1,20930.0
2107.0,4,4.0,1,145,2.0,51100000,1,0,0,20930.0
1150.0,3,3.0,1,145,1.0,25500000,1,0,1,20930.0
1240.0,3,3.0,2,145,2.0,26500000,1,0,1,20930.0
1000.0,2,2.0,2,145,1.0,15000000,1,1,1,20930.0
4500.0,4,4.0,1,145,2.0,55000000,1,1,1,20930.0
1150.0,3,3.0,1,145,2.0,26000000,1,0,1,20930.0
2000.0,4,4.0,1,145,2.0,38000000,1,1,1,20930.0
700.0,2,2.0,2,268,1.0,4600000,1,0,1,11291.5
750.0,2,2.0,1,143,1.0,9200000,1,1,1,11291.5
1350.0,4,3.0,2,130,2.0,9500000,1,1,0,11291.5
900.0,2,2.0,1,213,1.0,4500000,1,1,1,11291.5
970.0,3,2.0,1,23,1.0,6500000,1,1,1,11291.5
1000.0,3,2.0,0,286,1.0,5650000,1,1,1,11291.5
1425.0,3,3.0,1,213,1.0,9300000,1,1,1,6526.0
440.0,2,2.0,2,313,1.0,2700000,1,1,0,6526.0
1017.0,2,2.0,0,358,1.0,6500000,1,0,1,6526.0
650.0,2,2.0,1,84,1.0,5800000,1,1,0,6526.0
950.0,3,2.0,1,313,1.0,5500000,1,1,0,6526.0
810.0,3,2.0,1,360,1.0,6000000,1,1,1,6526.0
750.0,2,2.0,2,23,1.0,4500000,1,1,1,6526.0
990.0,2,2.0,1,313,2.0,4100000,1,1,1,6526.0
800.0,3,2.0,1,268,2.0,3800000,1,1,1,6526.0
675.0,2,1.0,2,313,1.0,3300000,1,1,0,6526.0
558.0,2,1.0,2,287,1.0,2900000,1,0,1,6526.0
445.0,2,1.0,2,267,1.0,2000000,1,1,1,6526.0
360.0,2,1.0,2,190,1.0,1550000,1,0,1,6526.0
1350.0,4,3.0,1,189,1.0,11300000,1,0,1,6526.0
850.0,3,2.0,1,121,1.0,4500000,1,1,1,6526.0
846.0,2,1.0,2,323,1.0,3300000,1,0,0,3901.0
1300.0,4,3.0,0,189,1.0,11500000,1,0,1,3901.0
900.0,3,2.0,1,267,1.0,6000000,0,0,1,3901.0
1050.0,3,2.0,1,130,1.0,9000000,1,1,0,3901.0
850.0,2,2.0,0,142,1.0,4500000,1,1,1,3901.0
1650.0,4,3.0,0,313,1.0,14000000,0,0,0,3901.0
1150.0,2,2.0,1,6,1.0,7300000,1,1,0,6347.0
495.1394,1,1.0,0,313,1.0,1900000,1,1,1,41304.0
1053.0,3,2.0,0,213,4.0,7000000,1,1,1,41304.0
810.0,3,2.0,1,360,1.0,6000000,1,1,1,11291.5
750.0,1,2.0,1,360,1.0,6400000,1,1,1,11291.5
540.0,2,1.0,0,360,1.0,2700000,1,0,0,5000.0
747.0,2,2.0,0,360,1.0,6500000,1,1,1,8701.0
720.0,2,1.0,2,360,1.0,4000000,1,1,1,5556.0
376.7365,1,1.0,1,360,1.0,3000000,1,0,0,85715.0
1125.0,2,2.0,2,360,1.0,5000000,1,1,1,4444.0
713.0,2,2.0,1,360,1.0,6000000,1,0,1,4444.0
360.0,1,1.0,2,360,1.0,2500000,1,1,1,6944.0
900.0,2,2.0,1,360,1.0,6500000,1,1,0,7222.0
713.0,3,1.0,2,360,1.0,8000000,1,1,0,11220.0
504.0,2,1.0,0,360,1.0,2700000,1,1,1,5357.0
70.0,1,2.0,2,360,1.0,4500000,1,1,0,5357.0
850.0,3,2.0,0,360,1.0,5700000,1,1,1,6706.0
2430.0,4,3.0,0,360,1.0,25000000,1,1,1,10288.0
2970.0,7,4.0,0,360,1.0,26500000,1,1,1,8923.0
2250.0,3,2.0,0,360,1.0,18500000,1,1,1,8222.0
